gallery_number,gallery_name,department,floor,wing,latitude,longitude
527,French Decorative Arts: Cabris Room,The Wrightsman Galleries,1,,40.779283283,-73.964211901
528,French Decorative Arts: Tessé Room,The Wrightsman Galleries,1,,40.779252245,-73.964083305
529,Gallery 529,The Wrightsman Galleries,1,,40.779195729,-73.963949175
530,French Faience,,1,,40.779270365,-73.963894754
531,Decorative Arts Under Louis XIV,The Wrightsman Galleries,1,,40.779174497,-73.963898778
532,"French Medals and Sculpture, 1600–1700",The Wrightsman Galleries,1,,40.779144169,-73.963826801
533,"Sculpture and Decorative Arts in Central Europe, 1700–1800",The Lesley and Emma Sheafer Collection in The Wrightsman Galleries,1,,40.779124803,-73.96367938
534,"Patio from the Castle of Vélez Blanco, 1506–15",Vélez Blanco Patio,1,,40.779188845,-73.96326118
535,"The Vélez Blanco Patio: Spanish Decorative Arts, 1450-1700",,2,,40.779146004,-73.963181231
536,"Italian Renaissance Bronze Sculpture, 1450–1600",,1,,40.779249757,-73.963405741
537,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.779268312,-73.963517675
538,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.779199651,-73.963567739
539,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.779235768,-73.963653455
540,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.77930812,-73.963635553
541,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.779302979,-73.963567174
542,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.779330763,-73.9636877
543,The Jack and Belle Linsky Collection,Jack and Belle Linsky Galleries,1,,40.779357811,-73.963751889
544,"The Renaissance in France, 1480-1600",,1,,40.779353919,-73.963833823
545,"Luxury Shopping, 1700–1790",The Wrightsman Galleries,1,,40.779456723,-73.963940202
546,French Decorative Arts: Crillon Room,The Wrightsman Galleries,1,,40.779413639,-73.963929105
547,French Decorative Arts: Bordeaux Room,The Wrightsman Galleries,1,,40.779441074,-73.963994215
548,"European Sculpture, 1700–1900",Carroll and Milton Petrie European Sculpture Court,1,,40.779172524,-73.964200906
549,"French and Italian Portrait Busts, 1600–1800",The Henry R. Kravis Wing,1,,40.779115406,-73.964244404
550,"Italian Baroque Sculpture and Decorative Arts, 1600–1750",The Henry R. Kravis Wing,1,,40.778815,-73.963857448
551,"Late Baroque and Rococo Decorative Arts, 1680–1760",The Florence Gould Galleries,1,,40.778936652,-73.963986254
552,"Terracotta Models, 1700–1900",Josephine Bay Paul Gallery,1,,40.779007403,-73.964154173
553,"Neoclassicism and the Empire Style, 1750–1830",The Florence Gould Galleries,1,,40.779061871,-73.964283441
554,"Revival Styles, 1800–1850",The Iris and B. Gerald Cantor Galleries,1,,40.778998314,-73.964329787
555,Fabergé from the Matilda Geddings Gray Foundation Collection,,1,,40.778943847,-73.964200517
556,"European Decorative Arts and Sculpture, 1850–1900",The Iris and B. Gerald Cantor Galleries,1,,40.778850128,-73.964049345
599,"Wedding Attire: Three Cultures, One Celebration",,G,,40.779311986,-73.963597876
600,Look Again: European Paintings 1300–1800,,2,,40.779418876,-73.96340225
601,Look Again: European Paintings 1300–1800,,2,,40.779456087,-73.963493889
602,Look Again: European Paintings 1300–1800,,2,,40.779304778,-73.963604222
603,Look Again: European Paintings 1300–1800,,2,,40.779268663,-73.96351851
604,Look Again: European Paintings 1300–1800,,2,,40.779183384,-73.963580695
605,Look Again: European Paintings 1300–1800,,2,,40.779231227,-73.963657855
606,Look Again: European Paintings 1300–1800,,2,,40.779154658,-73.963713687
607,Look Again: European Paintings 1300–1800,,2,,40.779106815,-73.963636527
608,Look Again: European Paintings 1300–1800,,2,,40.779066481,-73.963721962
609,Look Again: European Paintings 1300–1800,,2,,40.77915616,-73.96385526
610,Look Again: European Paintings 1300–1800,,2,,40.77917957,-73.963990357
611,Look Again: European Paintings 1300–1800,,2,,40.779237392,-73.963948194
612,Look Again: European Paintings 1300–1800,,2,,40.779254644,-73.964088995
613,Look Again: European Paintings 1300–1800,,2,,40.779275358,-73.964217711
614,Look Again: European Paintings 1300–1800,,2,,40.779311084,-73.964302502
615,Look Again: European Paintings 1300–1800,,2,,40.779386154,-73.964247763
616,Look Again: European Paintings 1300–1800,,2,,40.779384112,-73.96413841
617,Look Again: European Paintings 1300–1800,,2,,40.779462728,-73.964191927
618,Look Again: European Paintings 1300–1800,,2,,40.779513293,-73.964099094
619,Look Again: European Paintings 1300–1800,,2,,40.77969108,-73.964028066
620,Look Again: European Paintings 1300–1800,,2,,40.779646848,-73.963946628
621,Look Again: European Paintings 1300–1800,,2,,40.779815855,-73.96387847
622,Look Again: European Paintings 1300–1800,,2,,40.779925685,-73.963854347
623,Look Again: European Paintings 1300–1800,,2,,40.779889958,-73.963769555
624,Look Again: European Paintings 1300–1800,,2,,40.780030685,-73.963777781
625,Look Again: European Paintings 1300–1800,,2,,40.779994958,-73.963692989
626,Look Again: European Paintings 1300–1800,,2,,40.779950292,-73.96358698
627,Look Again: European Paintings 1300–1800,,2,,40.77989915,-73.963465604
628,Look Again: European Paintings 1300–1800,,2,,40.779848413,-73.963345189
629,Look Again: European Paintings 1300–1800,,2,,40.779804132,-73.963240096
630,Look Again: European Paintings 1300–1800,,2,,40.779768016,-73.963154384
631,Look Again: European Paintings 1300–1800,,2,,40.779699187,-73.963316622
632,Look Again: European Paintings 1300–1800,,2,,40.779663072,-73.96323091
633,Look Again: European Paintings 1300–1800,,2,,40.779571281,-73.963297844
634,Look Again: European Paintings 1300–1800,,2,,40.779607396,-73.963383556
635,Look Again: European Paintings 1300–1800,,2,,40.779412448,-73.963648029
636,Look Again: European Paintings 1300–1800,,2,,40.779468021,-73.963779921
637,Look Again: European Paintings 1300–1800,,2,,40.779524018,-73.96391282
638,Ecologies of Painting,Constance and Walter Burke Gallery,2,,40.779583433,-73.963538411
639,Look Again: European Paintings 1300–1800,,2,,40.779634173,-73.963658823
640,Look Again: European Paintings 1300–1800,,2,,40.779685312,-73.963780202
641,Look Again: European Paintings 1300–1800,,2,,40.779651677,-73.963488649
642,Look Again: European Paintings 1300–1800,,2,,40.779698723,-73.963611754
643,Look Again: European Paintings 1300–1800,,2,,40.779758667,-73.963568043
644,Look Again: European Paintings 1300–1800,,2,,40.77981923,-73.963523881
680,Musical Instruments,The André Mertens Galleries for Musical Instruments,2,,40.779884175,-73.96318275
681,Musical Instruments,The André Mertens Galleries for Musical Instruments,2,,40.779978701,-73.962974486
682,Musical Instruments,The André Mertens Galleries for Musical Instruments,2,,40.78016028,-73.962807863
